date,phase,category,impact,title,detail,verified,source
2025-04-11,T1,공시,긍정,"청약 결과 — 청약률 104.34%, 실권 11,139주(0.11%)","발행예정 10,162,800주에 대해 우리사주조합·구주주 청약 10,604,327주로 초과청약. 사실상 완판이며 실권주는 인수단이 자기계산으로 인수. 시장이 이 증자를 받아들였다는 두 번째 하드 증거",확정,DART 20250411800196
2025-04-14,T1,일정,중립,실권주 일반공모 청약 (~04-15),,확정,네이트뉴스
2025-04-17,T1,일정,중립,납입 완료 — 증권발행실적보고서,,확정,DART 20250417000452
2025-05-01,T1,일정,중립,신주 상장 — 오버행 해소 시점,5월 1일 근로자의날로 휴장. 실제 거래 반영은 5월 2일,확정,네이트뉴스
2025-11-17,T2,시장,미확인,"+18.4% · 거래대금 6,277억 (4.0배)",코스피200 편입 확정 발표 전일. 편입 기대 선반영인지 별도 재료인지 미확인 — 확인 필요,미확인,자동탐지
2025-11-18,T2,편입,긍정,코스피200 정기변경 편입 확정 발표,한화엔진·LG씨엔에스·현대오토에버·파라다이스 등과 함께 7개 종목 신규 편입. 적용일은 12월 12일(선물옵션 만기일),보도,서울경제/뉴데일리
2025-11-25,T2,시장,긍정,"+12.5% · 거래대금 6,138억 (3.4배)",편입 발표 이후 자금 유입 지속,확정,시세데이터
2025-11-27,T2,시장,긍정,상대강도(RS) 최고점 304.4,코스피200 편입 확정 발표(11-18) 직후 구간. 이 지점이 초과성과의 정점이었다,확정,시세데이터
2025-12-12,T2,편입,부정,"코스피200 편입 적용일 — 당일 -8.8% · 거래대금 5,204억 (2.5배)","패시브 자금이 실제로 반영되는 날. 전일(12-11)에도 5,249억이 몰렸다. 그러나 주가는 편입 적용일에 하락했고 이후 상대강도는 304에서 되돌려졌다 — 에코프로머티(편입일 +20.3%)와 정반대",확정,시세데이터/한국거래소
2026-04-22,T2,시장,긍정,"기간 내 최고 종가 161,400원 · 거래대금 11,559억 (6.8배)",기간 내 거래대금 1위. D-day 대비 +422.7%,확정,시세데이터
2026-09-04,T2,시장,중립,데이터 기준일,명목 +259.8%이나 상대강도는 137.8로 고점(304.4) 대비 절반 이하. 2025년 11월 이후 지수 대비 언더퍼폼 구간,확정,시세데이터
